2026-07-28 08:11:22,049 | INFO | StockAI | GET https://api.upstox.com/v3/historical-candle/NSE_EQ|INE848E01016/days/1/2026-07-28/2025-07-29
2026-07-28 08:11:35,788 | INFO | StockAI | GET https://api.upstox.com/v3/historical-candle/NSE_EQ|INE848E01016/days/1/2025-07-28/2024-07-29
2026-07-28 08:11:37,579 | INFO | StockAI | GET https://api.upstox.com/v3/historical-candle/NSE_EQ|INE848E01016/days/1/2024-07-28/2023-07-30
2026-07-28 08:11:39,698 | INFO | StockAI | GET https://api.upstox.com/v3/historical-candle/NSE_EQ|INE848E01016/days/1/2023-07-29/2022-07-30
2026-07-28 08:11:41,714 | INFO | StockAI | GET https://api.upstox.com/v3/historical-candle/NSE_EQ|INE848E01016/days/1/2022-07-29/2021-07-30
2026-07-28 08:49:30,791 | INFO | StockAI | GET https://api.upstox.com/v3/historical-candle/NSE_EQ|INE848E01016/days/1/2026-07-28/2025-07-29
2026-07-28 08:49:30,950 | INFO | StockAI | GET https://api.upstox.com/v3/historical-candle/NSE_EQ|INE848E01016/days/1/2025-07-28/2024-07-29
2026-07-28 08:49:31,130 | INFO | StockAI | GET https://api.upstox.com/v3/historical-candle/NSE_EQ|INE848E01016/days/1/2024-07-28/2023-07-30
2026-07-28 08:49:31,235 | INFO | StockAI | GET https://api.upstox.com/v3/historical-candle/NSE_EQ|INE848E01016/days/1/2023-07-29/2022-07-30
2026-07-28 08:49:31,323 | INFO | StockAI | GET https://api.upstox.com/v3/historical-candle/NSE_EQ|INE848E01016/days/1/2022-07-29/2021-07-30
2026-07-28 08:56:19,265 | INFO | StockAI | GET https://api.upstox.com/v3/historical-candle/NSE_EQ|INE848E01016/days/1/2026-07-28/2025-07-29
2026-07-28 08:56:19,418 | INFO | StockAI | GET https://api.upstox.com/v3/historical-candle/NSE_EQ|INE848E01016/days/1/2025-07-28/2024-07-29
2026-07-28 08:56:19,517 | INFO | StockAI | GET https://api.upstox.com/v3/historical-candle/NSE_EQ|INE848E01016/days/1/2024-07-28/2023-07-30
2026-07-28 08:56:19,605 | INFO | StockAI | GET https://api.upstox.com/v3/historical-candle/NSE_EQ|INE848E01016/days/1/2023-07-29/2022-07-30
2026-07-28 08:56:19,836 | INFO | StockAI | GET https://api.upstox.com/v3/historical-candle/NSE_EQ|INE848E01016/days/1/2022-07-29/2021-07-30
2026-07-28 09:01:59,859 | INFO | StockAI | GET https://api.upstox.com/v3/historical-candle/NSE_EQ|INE848E01016/days/1/2026-07-28/2025-07-29
